Section,Division,Group,Class,Activity
,,,47.83,"Retail sale of motorcycles, motorcycle parts and accessories"
,,47.9,,Intermediation service activities for retail sale
,,,47.91,Intermediation service activities for non-specialised retail sale
,,,47.92,Intermediation service activities for specialised retail sale
H,,,,Transportation and storage
,49,,,Land transport and transport via pipelines
,,49.1,,Passenger rail transport
,,,49.11,Passenger heavy rail transport
,,,49.12,Other passenger rail transport
,,49.2,,Freight rail transport
,,,49.20,Freight rail transport
,,49.3,,Other passenger land transport
,,,49.31,Scheduled passenger transport by road
,,,49.32,Non-scheduled passenger transport by road
,,,49.33,On-demand passenger transport service activities by vehicle with driver
,,,49.34,Passenger transport by cableways and ski lifts
,,,49.39,Other passenger land transport n.e.c.
,,49.4,,Freight transport by road and removal services
,,,49.41,Freight transport by road
,,,49.42,Removal services
,,49.5,,Transport via pipeline
,,,49.50,Transport via pipeline
,50,,,Water transport
,,50.1,,Sea and coastal passenger water transport
,,,50.10,Sea and coastal passenger water transport
,,50.2,,Sea and coastal freight water transport
,,,50.20,Sea and coastal freight water transport
,,50.3,,Inland passenger water transport
,,,50.30,Inland passenger water transport
,,50.4,,Inland freight water transport
,,,50.40,Inland freight water transport
,51,,,Air transport
,,51.1,,Passenger air transport
,,,51.10,Passenger air transport
,,51.2,,Freight air transport and space transport
,,,51.21,Freight air transport
,,,51.22,Space transport
,52,,,"Warehousing, storage and support activities for transportation"
,,52.1,,Warehousing and storage
,,,52.10,Warehousing and storage
,,52.2,,Support activities for transportation
,,,52.21,Service activities incidental to land transportation
,,,52.22,Service activities incidental to water transportation
,,,52.23,Service activities incidental to air transportation
,,,52.24,Cargo handling
,,,52.25,Logistics service activities
,,,52.26,Other support activities for transportation
,,52.3,,Intermediation service activities for transportation
,,,52.31,Intermediation service activities for freight transportation
,,,52.32,Intermediation service activities for passenger transportation
,53,,,Postal and courier activities
,,53.1,,Postal activities under universal service obligation
,,,53.10,Postal activities under universal service obligation
,,53.2,,Other postal and courier activities
,,,53.20,Other postal and courier activities
,,53.3,,Intermediation service activities for postal and courier activities
,,,53.30,Intermediation service activities for postal and courier activities
I,,,,Accommodation and food service activities
,55,,,Accommodation
,,55.1,,Hotels and similar accommodation
,,,55.10,Hotels and similar accommodation
,,55.2,,Holiday and other short-stay accommodation
,,,55.20,Holiday and other short-stay accommodation
,,55.3,,Camping grounds and recreational vehicle parks
,,,55.30,Camping grounds and recreational vehicle parks
,,55.4,,Intermediation service activities for accommodation
,,,55.40,Intermediation service activities for accommodation
,,55.9,,Other accommodation
,,,55.90,Other accommodation
,56,,,Food and beverage service activities
,,56.1,,Restaurants and mobile food service activities
,,,56.11,Restaurant activities
,,,56.12,Mobile food service activities
,,56.2,,"Event catering, contract catering service activities and other food service activities"
,,,56.21,Event catering activities
,,,56.22,Contract catering service activities and other food service activities
,,56.3,,Beverage serving activities
,,,56.30,Beverage serving activities
,,56.4,,Intermediation service activities for food and beverage services activities
,,,56.40,Intermediation service activities for food and beverage services activities
J,,,,"Publishing, broadcasting, and content production and distribution activities"
,58,,,Publishing activities
,,58.1,,"Publishing of books, newspapers and other publishing activities, except software publishing"
,,,58.11,Publishing of books
,,,58.12,Publishing of newspapers
,,,58.13,Publishing of journals and periodicals
,,,58.19,"Other publishing activities, except software publishing"
,,58.2,,Software publishing
,,,58.21,Publishing of video games
,,,58.29,Other software publishing
,59,,,"Motion picture, video and television programme production, sound recording and music publishing activities"
,,59.1,,"Motion picture, video and television programme activities"
,,,59.11,"Motion picture, video and television programme production activities"
,,,59.12,"Motion picture, video and television programme post-production activities"
,,,59.13,Motion picture and video distribution activities
,,,59.14,Motion picture projection activities
,,59.2,,Sound recording and music publishing activities
,,,59.20,Sound recording and music publishing activities
,60,,,"Programming, broadcasting, news agency and other content distribution activities"
,,60.1,,Radio broadcasting and audio distribution activities
,,,60.10,Radio broadcasting and audio distribution activities
,,60.2,,"Television programming, broadcasting and video distribution activities"
,,,60.20,"Television programming, broadcasting and video distribution activities"
,,60.3,,News agency and other content distribution activities
,,,60.31,News agency activities
,,,60.39,Other content distribution activities
K,,,,"Telecommunication, computer programming, consulting, computing infrastructure and other information service activities"
,61,,,Telecommunication
,,61.1,,"Wired, wireless, and satellite telecommunication activities"
,,,61.10,"Wired, wireless, and satellite telecommunication activities"
,,61.2,,Telecommunication reselling activities and intermediation service activities for telecommunication
,,,61.20,Telecommunication reselling activities and intermediation service activities for telecommunication
,,61.9,,Other telecommunication activities
,,,61.90,Other telecommunication activities
,62,,,"Computer programming, consultancy and related activities"
,,62.1,,Computer programming activities
,,,62.10,Computer programming activities
,,62.2,,Computer consultancy and computer facilities management activities
,,,62.20,Computer consultancy and computer facilities management activities
,,62.9,,Other information technology and computer service activities
,,,62.90,Other information technology and computer service activities
,63,,,"Computing infrastructure, data processing, hosting and other information service activities"
,,63.1,,"Computing infrastructure, data processing, hosting and related activities"
,,,63.10,"Computing infrastructure, data processing, hosting and related activities"
,,63.9,,Web search portal activities and other information service activities
,,,63.91,Web search portal activities
,,,63.92,Other information service activities
L,,,,Financial and insurance activities
,64,,,"Financial service activities, except insurance and pension funding"
,,64.1,,Monetary intermediation
,,,64.11,Central banking
,,,64.19,Other monetary intermediation
,,64.2,,Activities of holding companies and financing conduits
,,,64.21,Activities of holding companies
,,,64.22,Activities of financing conduits
,,64.3,,"Activities of trusts, funds and similar financial entities"
,,,64.31,Activities of money market and non-money market investments funds
,,,64.32,"Activities of trust, estate and agency accounts"
,,64.9,,"Other financial service activities, except insurance and pension funding"
,,,64.91,Financial leasing
,,,64.92,Other credit granting
,,,64.99,"Other financial service activities, except insurance and pension funding n.e.c."
,65,,,"Insurance, reinsurance and pension funding, except compulsory social security"
,,65.1,,Insurance
,,,65.11,Life insurance
,,,65.12,Non-life insurance
,,65.2,,Reinsurance
,,,65.20,Reinsurance
,,65.3,,Pension funding
,,,65.30,Pension funding
,66,,,Activities auxiliary to financial services and insurance activities
,,66.1,,"Activities auxiliary to financial services, except insurance and pension funding"
,,,66.11,Administration of financial markets
,,,66.12,Security and commodity contracts brokerage
,,,66.19,"Other activities auxiliary to financial services, except insurance and pension funding"
,,66.2,,Activities auxiliary to insurance and pension funding
,,,66.21,Risk and damage evaluation
,,,66.22,Activities of insurance agents and brokers
,,,66.29,Activities auxiliary to insurance and pension funding n.e.c.
,,66.3,,Fund management activities
,,,66.30,Fund management activities
M,,,,Real estate activities
,68,,,Real estate activities
,,68.1,,Real estate activities with own property and development of building projects
,,,68.11,Buying and selling of own real estate
,,,68.12,Development of building projects
,,68.2,,Rental and operating of own or leased real estate
,,,68.20,Rental and operating of own or leased real estate
,,68.3,,Real estate activities on a fee or contract basis
,,,68.31,Intermediation service activities for real estate activities
,,,68.32,Other real estate activities on a fee or contract basis
N,,,,"Professional, scientific and technical activities"
,69,,,Legal and accounting activities
,,69.1,,Legal activities
,,,69.10,Legal activities
,,69.2,,"Accounting, bookkeeping and auditing activities; tax consultancy"
,,,69.20,"Accounting, bookkeeping and auditing activities; tax consultancy"
,70,,,Activities of head offices and management consultancy
,,70.1,,Activities of head offices
,,,70.10,Activities of head offices
,,70.2,,Business and other management consultancy activities
,,,70.20,Business and other management consultancy activities
,71,,,Architectural and engineering activities; technical testing and analysis
,,71.1,,Architectural and engineering activities and related technical consultancy
,,,71.11,Architectural activities
,,,71.12,Engineering activities and related technical consultancy
,,71.2,,Technical testing and analysis
,,,71.20,Technical testing and analysis
,72,,,Scientific research and development
,,72.1,,Research and experimental development on natural sciences and engineering
,,,72.10,Research and experimental development on natural sciences and engineering
,,72.2,,Research and experimental development on social sciences and humanities
,,,72.20,Research and experimental development on social sciences and humanities
,73,,,"Activities of advertising, market research and public relations"
,,73.1,,Advertising
,,,73.11,Activities of advertising agencies
,,,73.12,Media representation
,,73.2,,Market research and public opinion polling
,,,73.20,Market research and public opinion polling
,,73.3,,Public relations and communication activities
,,,73.30,Public relations and communication activities
,74,,,"Other professional, scientific and technical activities"
,,74.1,,Specialised design activities
,,,74.11,Industrial product and fashion design activities
,,,74.12,Graphic design and visual communication activities
,,,74.13,Interior design activities
,,,74.14,Other specialised design activities
,,74.2,,Photographic activities
,,,74.20,Photographic activities
,,74.3,,Translation and interpretation activities
,,,74.30,Translation and interpretation activities
,,74.9,,"Other professional, scientific and technical activities n.e.c."
,,,74.91,Patent brokering and marketing service activities
,,,74.99,"All other professional, scientific and technical activities n.e.c."
,75,,,Veterinary activities
,,75.0,,Veterinary activities
,,,75.00,Veterinary activities
O,,,,Administrative and support service activities
,77,,,Rental and leasing activities
,,77.1,,Rental and leasing of motor vehicles
,,,77.11,Rental and leasing of cars and light motor vehicles
,,,77.12,Rental and leasing of trucks
,,77.2,,Rental and leasing of personal and household goods
,,,77.21,Rental and leasing of recreational and sports goods
,,,77.22,Rental and leasing of other personal and household goods
,,77.3,,"Rental and leasing of other machinery, equipment and tangible goods"
,,,77.31,Rental and leasing of agricultural machinery and equipment
,,,77.32,Rental and leasing of construction and civil engineering machinery and equipment
,,,77.33,"Rental and leasing of office machinery, equipment and computers"
,,,77.34,Rental and leasing of water transport equipment
,,,77.35,Rental and leasing of air transport equipment
,,,77.39,"Rental and leasing of other machinery, equipment and tangible goods n.e.c."
,,77.4,,"Leasing of intellectual property and similar products, except copyrighted works"
,,,77.40,"Leasing of intellectual property and similar products, except copyrighted works"
,,77.5,,Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets
,,,77.51,"Intermediation service activities for rental and leasing of cars, motorhomes and trailers"
,,,77.52,Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets
,78,,,Employment activities
,,78.1,,Activities of employment placement agencies
,,,78.10,Activities of employment placement agencies
,,78.2,,Temporary employment agency activities and other human resource provisions
,,,78.20,Temporary employment agency activities and other human resource provisions
,79,,,"Travel agency, tour operator and other reservation service and related activities"
,,79.1,,Travel agency and tour operator activities
,,,79.11,Travel agency activities
,,,79.12,Tour operator activities
,,79.9,,Other reservation service and related activities
,,,79.90,Other reservation service and related activities
,80,,,Investigation and security activities
,,80.0,,Investigation and security activities
,,,80.01,Investigation and private security activities
,,,80.09,Security activities n.e.c.
,81,,,Services to buildings and landscape activities
,,81.1,,Combined facilities support activities
,,,81.10,Combined facilities support activities
,,81.2,,Cleaning activities
,,,81.21,General cleaning of buildings
,,,81.22,Other building and industrial cleaning activities
,,,81.23,Other cleaning activities
,,81.3,,Landscape service activities
,,,81.30,Landscape service activities
,82,,,"Office administrative, office support and other business support activities"
,,82.1,,Office administrative and support activities
,,,82.10,Office administrative and support activities
,,82.2,,Activities of call centres
,,,82.20,Activities of call centres
,,82.3,,Organisation of conventions and trade shows
,,,82.30,Organisation of conventions and trade shows
,,82.4,,Intermediation service activities for business support service activities n.e.c.
,,,82.40,Intermediation service activities for business support service activities n.e.c.
,,82.9,,Business support service activities n.e.c.
,,,82.91,Activities of collection agencies and credit bureaus
,,,82.92,Packaging activities
,,,82.99,Other business support service activities n.e.c.
P,,,,Public administration and defence; compulsory social security
,84,,,Public administration and defence; compulsory social security
,,84.1,,"Administration of the State and the economic, social and environmental policies of the community"
,,,84.11,General public administration activities
,,,84.12,"Regulation of health care, education, cultural services and other social services"
,,,84.13,Regulation of and contribution to more efficient operation of businesses
,,84.2,,Provision of services to the community as a whole
,,,84.21,Foreign affairs
,,,84.22,Defence activities
,,,84.23,Justice and judicial activities
,,,84.24,Public order and safety activities
,,,84.25,Fire service activities
,,84.3,,Compulsory social security activities
,,,84.30,Compulsory social security activities
Q,,,,Education
,85,,,Education
,,85.1,,Pre-primary education
,,,85.10,Pre-primary education
,,85.2,,Primary education
,,,85.20,Primary education
,,85.3,,Secondary and post-secondary non-tertiary education
,,,85.31,General secondary education
,,,85.32,Vocational secondary education
,,,85.33,Post-secondary non-tertiary education
,,85.4,,Tertiary education
,,,85.40,Tertiary education
,,85.5,,Other education
,,,85.51,Sports and recreation education
,,,85.52,Cultural education
,,,85.53,Driving school activities
,,,85.59,Other education n.e.c.
,,85.6,,Educational support activities
,,,85.61,Intermediation service activities for courses and tutors
,,,85.69,Educational support activities n.e.c.
R,,,,Human health and social work activities
,86,,,Human health activities
,,86.1,,Hospital activities
,,,86.10,Hospital activities
,,86.2,,Medical and dental practice activities
,,,86.21,General medical practice activities
,,,86.22,Medical specialists activities
,,,86.23,Dental practice care activities
,,86.9,,Other human health activities
,,,86.91,Diagnostic imaging services and medical laboratory activities
,,,86.92,Patient transportation by ambulance
,,,86.93,"Activities of psychologists and psychotherapists, except medical doctors"
,,,86.94,Nursing and midwifery activities
,,,86.95,Physiotherapy activities
,,,86.96,"Traditional, complementary and alternative medicine activities"
,,,86.97,"Intermediation service activities for medical, dental and other human health services"
,,,86.99,Other human health activities n.e.c.
,87,,,Residential care activities
,,87.1,,Residential nursing care activities
,,,87.10,Residential nursing care activities
,,87.2,,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse
,,,87.20,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse
,,87.3,,Residential care activities for older persons or persons with physical disabilities
,,,87.30,Residential care activities for older persons or persons with physical disabilities
,,87.9,,Other residential care activities
,,,87.91,Intermediation service activities for residential care activities
,,,87.99,Other residential care activities n.e.c.
,88,,,Social work activities without accommodation
,,88.1,,Social work activities without accommodation for older persons or persons with disabilities
,,,88.10,Social work activities without accommodation for older persons or persons with disabilities
,,88.9,,Other social work activities without accommodation
,,,88.91,Child day-care activities
,,,88.99,Other social work activities without accommodation n.e.c.
S,,,,"Arts, sports and recreation"
,90,,,Arts creation and performing arts activities
,,90.1,,Arts creation activities
,,,90.11,Literary creation and musical composition activities
,,,90.12,Visual arts creation activities
,,,90.13,Other arts creation activities
,,90.2,,Activities of performing arts
,,,90.20,Activities of performing arts
,,90.3,,Support activities to arts creation and performing arts
,,,90.31,Operation of arts facilities and sites
,,,90.39,Other support activities to arts and performing arts
,91,,,"Libraries, archives, museums and other cultural activities"
,,91.1,,Library and archive activities
,,,91.11,Library activities
,,,91.12,Archive activities
,,91.2,,"Museum, collection, historical site and monument activities"
,,,91.21,Museum and collection activities
,,,91.22,Historical site and monument activities
,,91.3,,"Conservation, restoration and other support activities for cultural heritage"
,,,91.30,"Conservation, restoration and other support activities for cultural heritage"
,,91.4,,Botanical and zoological garden and nature reserve activities
,,,91.41,Botanical and zoological garden activities
,,,91.42,Nature reserve activities
,92,,,Gambling and betting activities
,,92.0,,Gambling and betting activities
,,,92.00,Gambling and betting activities
,93,,,Sports activities and amusement and recreation activities
,,93.1,,Sports activities
,,,93.11,Operation of sports facilities
,,,93.12,Activities of sports clubs
,,,93.13,Activities of fitness centres
,,,93.19,Sports activities n.e.c.
,,93.2,,Amusement and recreation activities
,,,93.21,Activities of amusement parks and theme parks
,,,93.29,Amusement and recreation activities n.e.c.
T,,,,Other service activities
,94,,,Activities of membership organisations
,,94.1,,"Activities of business, employers and professional membership organisations"
,,,94.11,Activities of business and employers membership organisations
,,,94.12,Activities of professional membership organisations
,,94.2,,Activities of trade unions
,,,94.20,Activities of trade unions
,,94.9,,Activities of other membership organisations
,,,94.91,Activities of religious organisations
,,,94.92,Activities of political organisations
,,,94.99,Activities of other membership organisations n.e.c.
,95,,,"Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
,,95.1,,Repair and maintenance of computers and communication equipment
,,,95.10,Repair and maintenance of computers and communication equipment
,,95.2,,Repair and maintenance of personal and household goods
,,,95.21,Repair and maintenance of consumer electronics
,,,95.22,Repair and maintenance of household appliances and home and garden equipment
,,,95.23,Repair and maintenance of footwear and leather goods
,,,95.24,Repair and maintenance of furniture and home furnishings
,,,95.25,"Repair and maintenance of watches, clocks and jewellery"
,,,95.29,Repair and maintenance of personal and household goods n.e.c.
,,95.3,,Repair and maintenance of motor vehicles and motorcycles
,,,95.31,Repair and maintenance of motor vehicles
,,,95.32,Repair and maintenance of motorcycles
,,95.4,,"Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
,,,95.40,"Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
,96,,,Personal service activities
,,96.1,,Washing and cleaning of textile and fur products
,,,96.10,Washing and cleaning of textile and fur products
,,96.2,,"Hairdressing, beauty treatment, day spa and similar activities"
,,,96.21,Hairdressing and barber activities
,,,96.22,Beauty care and other beauty treatment activities
,,,96.23,"Day spa, sauna and steam bath activities"
,,96.3,,Funeral and related activities
,,,96.30,Funeral and related activities
,,96.4,,Intermediation service activities for personal services
,,,96.40,Intermediation service activities for personal services
,,96.9,,Other personal service activities
,,,96.91,Provision of domestic personal service activities
,,,96.99,Other personal service activities n.e.c.
U,,,,Activities of households as employers and undifferentiated goods – and service-producing activities of households for own use
,97,,,Activities of households as employers of domestic personnel
,,97.0,,Activities of households as employers of domestic personnel
,,,97.00,Activities of households as employers of domestic personnel
,98,,,Undifferentiated goods- and service-producing activities of private households for own use
,,98.1,,Undifferentiated goods-producing activities of private households for own use
,,,98.10,Undifferentiated goods-producing activities of private households for own use
,,98.2,,Undifferentiated service-producing activities of private households for own use
,,,98.20,Undifferentiated service-producing activities of private households for own use
V,,,,Activities of extraterritorial organisations and bodies
,99,,,Activities of extraterritorial organisations and bodies
,,99.0,,Activities of extraterritorial organisations and bodies
,,,99.00,Activities of extraterritorial organisations and bodies
