Section,Division,Group,Class,Activity,ISICRev. 4
,,,46.63,"Wholesale of mining, construction and civil engineering machinery",4659*
,,,46.64,Wholesale of machinery for the textile industry and of sewing and knitting machines,4659*
,,,46.65,Wholesale of office furniture,4659*
,,,46.66,Wholesale of other office machinery and equipment,4659*
,,,46.69,Wholesale of other machinery and equipment,4659*
,,46.7,,Other specialised wholesale,
,,,46.71,"Wholesale of solid, liquid and gaseous fuels and related products",4661
,,,46.72,Wholesale of metals and metal ores,4662
,,,46.73,"Wholesale of wood, construction materials and sanitary equipment",4663*
,,,46.74,"Wholesale of hardware, plumbing and heating equipment and supplies",4663*
,,,46.75,Wholesale of chemical products,4669*
,,,46.76,Wholesale of other intermediate products,4669*
,,,46.77,Wholesale of waste and scrap,4669*
,,46.9,,Non-specialised wholesale trade,
,,,46.90,Non-specialised wholesale trade,4690
,47,,,"Retail trade, except of motor vehicles and motorcycles",
,,47.1,,Retail sale in non-specialised stores,
,,,47.11,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",4711
,,,47.19,Other retail sale in non-specialised stores,4719
,,47.2,,"Retail sale of food, beverages and tobacco in specialised stores",
,,,47.21,Retail sale of fruit and vegetables in specialised stores,4721*
,,,47.22,Retail sale of meat and meat products in specialised stores,4721*
,,,47.23,"Retail sale of fish, crustaceans and molluscs in specialised stores",4721*
,,,47.24,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",4721*
,,,47.25,Retail sale of beverages in specialised stores,4722
,,,47.26,Retail sale of tobacco products in specialised stores,4723
,,,47.29,Other retail sale of food in specialised stores,4721*
,,47.3,,Retail sale of automotive fuel in specialised stores,
,,,47.30,Retail sale of automotive fuel in specialised stores,4730
,,47.4,,Retail sale of information and communication equipment in specialised stores,
,,,47.41,"Retail sale of computers, peripheral units and software in specialised stores",4741*
,,,47.42,Retail sale of telecommunications equipment in specialised stores,4741*
,,,47.43,Retail sale of audio and video equipment in specialised stores,4742
,,47.5,,Retail sale of other household equipment in specialised stores,
,,,47.51,Retail sale of textiles in specialised stores,4751
,,,47.52,"Retail sale of hardware, paints and glass in specialised stores",4752
,,,47.53,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",4753
,,,47.54,Retail sale of electrical household appliances in specialised stores,4759*
,,,47.59,"Retail sale of furniture, lighting equipment and other household articles in specialised stores",4759*
,,47.6,,Retail sale of cultural and recreation goods in specialised stores,
,,,47.61,Retail sale of books in specialised stores,4761*
,,,47.62,Retail sale of newspapers and stationery in specialised stores,4761*
,,,47.63,Retail sale of music and video recordings in specialised stores,4762
,,,47.64,Retail sale of sporting equipment in specialised stores,4763
,,,47.65,Retail sale of games and toys in specialised stores,4764
,,47.7,,Retail sale of other goods in specialised stores,
,,,47.71,Retail sale of clothing in specialised stores,4771*
,,,47.72,Retail sale of footwear and leather goods in specialised stores,4771*
,,,47.73,Dispensing chemist in specialised stores,4772*
,,,47.74,Retail sale of medical and orthopaedic goods in specialised stores,4772*
,,,47.75,Retail sale of cosmetic and toilet articles in specialised stores,4772*
,,,47.76,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",4773*
,,,47.77,Retail sale of watches and jewellery in specialised stores,4773*
,,,47.78,Other retail sale of new goods in specialised stores,4773*
,,,47.79,Retail sale of second-hand goods in stores,4774
,,47.8,,Retail sale via stalls and markets,
,,,47.81,"Retail sale via stalls and markets of food, beverages and tobacco products",4781
,,,47.82,"Retail sale via stalls and markets of textiles, clothing and footwear",4782
,,,47.89,Retail sale via stalls and markets of other goods,4789
,,47.9,,"Retail trade not in stores, stalls or markets",
,,,47.91,Retail sale via mail order houses or via Internet,4791
,,,47.99,"Other retail sale not in stores, stalls or markets",4799
H,,,,Transportation And Storage,
,49,,,Land transport and transport via pipelines,
,,49.1,,"Passenger rail transport, interurban",
,,,49.10,"Passenger rail transport, interurban",4911
,,49.2,,Freight rail transport,
,,,49.20,Freight rail transport,4912
,,49.3,,Other passenger land transport,
,,,49.31,Urban and suburban passenger land transport,4921
,,,49.32,Taxi operation,4922*
,,,49.39,Other passenger land transport n.e.c.,4922*
,,49.4,,Freight transport by road and removal services,
,,,49.41,Freight transport by road,4923*
,,,49.42,Removal services,4923*
,,49.5,,Transport via pipeline,
,,,49.50,Transport via pipeline,4930
,50,,,Water transport,
,,50.1,,Sea and coastal passenger water transport,
,,,50.10,Sea and coastal passenger water transport,5011
,,50.2,,Sea and coastal freight water transport,
,,,50.20,Sea and coastal freight water transport,5012
,,50.3,,Inland passenger water transport,
,,,50.30,Inland passenger water transport,5021
,,50.4,,Inland freight water transport,
,,,50.40,Inland freight water transport,5022
,51,,,Air transport,
,,51.1,,Passenger air transport,
,,,51.10,Passenger air transport,5110
,,51.2,,Freight air transport and space transport,
,,,51.21,Freight air transport,5120*
,,,51.22,Space transport,5120*
,52,,,Warehousing and support activities for transportation,
,,52.1,,Warehousing and storage,
,,,52.10,Warehousing and storage,5210
,,52.2,,Support activities for transportation,
,,,52.21,Service activities incidental to land transportation,5221
,,,52.22,Service activities incidental to water transportation,5222
,,,52.23,Service activities incidental to air transportation,5223
,,,52.24,Cargo handling,5224
,,,52.29,Other transportation support activities,5229
,53,,,Postal and courier activities,
,,53.1,,Postal activities under universal service obligation,
,,,53.10,Postal activities under universal service obligation,5310
,,53.2,,Other postal and courier activities,
,,,53.20,Other postal and courier activities,5320
I,,,,Accommodation And Food Service Activities,
,55,,,Accommodation,
,,55.1,,Hotels and similar accommodation,
,,,55.10,Hotels and similar accommodation,5510*
,,55.2,,Holiday and other short-stay accommodation,
,,,55.20,Holiday and other short-stay accommodation,5510*
,,55.3,,"Camping grounds, recreational vehicle parks and trailer parks",
,,,55.30,"Camping grounds, recreational vehicle parks and trailer parks",5520
,,55.9,,Other accommodation,
,,,55.90,Other accommodation,5590
,56,,,Food and beverage service activities,
,,56.1,,Restaurants and mobile food service activities,
,,,56.10,Restaurants and mobile food service activities,5610
,,56.2,,Event catering and other food service activities,
,,,56.21,Event catering activities,5621
,,,56.29,Other food service activities,5629
,,56.3,,Beverage serving activities,
,,,56.30,Beverage serving activities,5630
J,,,,Information And Communication,
,58,,,Publishing activities,
,,58.1,,"Publishing of books, periodicals and other publishing activities",
,,,58.11,Book publishing,5811
,,,58.12,Publishing of directories and mailing lists,5812
,,,58.13,Publishing of newspapers,5813*
,,,58.14,Publishing of journals and periodicals,5813*
,,,58.19,Other publishing activities,5819
,,58.2,,Software publishing,
,,,58.21,Publishing of computer games,5820*
,,,58.29,Other software publishing,5820*
,59,,,"Motion picture, video and television programme production, sound recording and music publishing activities",
,,59.1,,"Motion picture, video and television programme activities",
,,,59.11,"Motion picture, video and television programme production activities",5911
,,,59.12,"Motion picture, video and television programme post-production activities",5912
,,,59.13,"Motion picture, video and television programme distribution activities",5913
,,,59.14,Motion picture projection activities,5914
,,59.2,,Sound recording and music publishing activities,
,,,59.20,Sound recording and music publishing activities,5920
,60,,,Programming and broadcasting activities,
,,60.1,,Radio broadcasting,
,,,60.10,Radio broadcasting,6010
,,60.2,,Television programming and broadcasting activities,
,,,60.20,Television programming and broadcasting activities,6020
,61,,,Telecommunications,
,,61.1,,Wired telecommunications activities,
,,,61.10,Wired telecommunications activities,6110
,,61.2,,Wireless telecommunications activities,
,,,61.20,Wireless telecommunications activities,6120
,,61.3,,Satellite telecommunications activities,
,,,61.30,Satellite telecommunications activities,6130
,,61.9,,Other telecommunications activities,
,,,61.90,Other telecommunications activities,6190
,62,,,"Computer programming, consultancy and related activities",
,,62.0,,"Computer programming, consultancy and related activities",
,,,62.01,Computer programming activities,6201
,,,62.02,Computer consultancy activities,6202*
,,,62.03,Computer facilities management activities,6202*
,,,62.09,Other information technology and computer service activities,6209
,63,,,Information service activities,
,,63.1,,"Data processing, hosting and related activities; web portals",
,,,63.11,"Data processing, hosting and related activities",6311
,,,63.12,Web portals,6312
,,63.9,,Other information service activities,
,,,63.91,News agency activities,6391
,,,63.99,Other information service activities n.e.c.,6399
K,,,,Financial And Insurance Activities,
,64,,,"Financial service activities, except insurance and pension funding",
,,64.1,,Monetary intermediation,
,,,64.11,Central banking,6411
,,,64.19,Other monetary intermediation,6419
,,64.2,,Activities of holding companies,
,,,64.20,Activities of holding companies,6420
,,64.3,,"Trusts, funds and similar financial entities",
,,,64.30,"Trusts, funds and similar financial entities",6430
,,64.9,,"Other financial service activities, except insurance and pension funding",
,,,64.91,Financial leasing,6491
,,,64.92,Other credit granting,6492
,,,64.99,"Other financial service activities, except insurance and pension funding n.e.c.",6499
,65,,,"Insurance, reinsurance and pension funding, except compulsory social security",
,,65.1,,Insurance,
,,,65.11,Life insurance,6511
,,,65.12,Non-life insurance,6512
,,65.2,,Reinsurance,
,,,65.20,Reinsurance,6520
,,65.3,,Pension funding,
,,,65.30,Pension funding,6530
,66,,,Activities auxiliary to financial services and insurance activities,
,,66.1,,"Activities auxiliary to financial services, except insurance and pension funding",
,,,66.11,Administration of financial markets,6611
,,,66.12,Security and commodity contracts brokerage,6612
,,,66.19,"Other activities auxiliary to financial services, except insurance and pension funding",6619
,,66.2,,Activities auxiliary to insurance and pension funding,
,,,66.21,Risk and damage evaluation,6621
,,,66.22,Activities of insurance agents and brokers,6622
,,,66.29,Other activities auxiliary to insurance and pension funding,6629
,,66.3,,Fund management activities,
,,,66.30,Fund management activities,6630
L,,,,Real Estate Activities,
,68,,,Real estate activities,
,,68.1,,Buying and selling of own real estate,
,,,68.10,Buying and selling of own real estate,6810*
,,68.2,,Renting and operating of own or leased real estate,
,,,68.20,Renting and operating of own or leased real estate,6810*
,,68.3,,Real estate activities on a fee or contract basis,
,,,68.31,Real estate agencies,6820*
,,,68.32,Management of real estate on a fee or contract basis,6820*
M,,,,"Professional, Scientific And Technical Activities",
,69,,,Legal and accounting activities,
,,69.1,,Legal activities,
,,,69.10,Legal activities,6910
,,69.2,,"Accounting, bookkeeping and auditing activities; tax consultancy",
,,,69.20,"Accounting, bookkeeping and auditing activities; tax consultancy",6920
,70,,,Activities of head offices; management consultancy activities,
,,70.1,,Activities of head offices,
,,,70.10,Activities of head offices,7010
,,70.2,,Management consultancy activities,
,,,70.21,Public relations and communication activities,7020*
,,,70.22,Business and other management consultancy activities,7020*
,71,,,Architectural and engineering activities; technical testing and analysis,
,,71.1,,Architectural and engineering activities and related technical consultancy,
,,,71.11,Architectural activities,7110*
,,,71.12,Engineering activities and related technical consultancy,7110*
,,71.2,,Technical testing and analysis,
,,,71.20,Technical testing and analysis,7120
,72,,,Scientific research and development,
,,72.1,,Research and experimental development on natural sciences and engineering,
,,,72.11,Research and experimental development on biotechnology,7210*
,,,72.19,Other research and experimental development on natural sciences and engineering,7210*
,,72.2,,Research and experimental development on social sciences and humanities,
,,,72.20,Research and experimental development on social sciences and humanities,7220
,73,,,Advertising and market research,
,,73.1,,Advertising,
,,,73.11,Advertising agencies,7310*
,,,73.12,Media representation,7310*
,,73.2,,Market research and public opinion polling,
,,,73.20,Market research and public opinion polling,7320
,74,,,"Other professional, scientific and technical activities",
,,74.1,,Specialised design activities,
,,,74.10,Specialised design activities,7410
,,74.2,,Photographic activities,
,,,74.20,Photographic activities,7420
,,74.3,,Translation and interpretation activities,
,,,74.30,Translation and interpretation activities,7490*
,,74.9,,"Other professional, scientific and technical activities n.e.c.",
,,,74.90,"Other professional, scientific and technical activities n.e.c.",7490*
,75,,,Veterinary activities,
,,75.0,,Veterinary activities,
,,,75.00,Veterinary activities,7500
N,,,,Administrative And Support Service Activities,
,77,,,Rental and leasing activities,
,,77.1,,Renting and leasing of motor vehicles,
,,,77.11,Renting and leasing of cars and light motor vehicles,7710*
,,,77.12,Renting and leasing of trucks,7710*
,,77.2,,Renting and leasing of personal and household goods,
,,,77.21,Renting and leasing of recreational and sports goods,7721
,,,77.22,Renting of video tapes and disks,7722
,,,77.29,Renting and leasing of other personal and household goods,7729
,,77.3,,"Renting and leasing of other machinery, equipment and tangible goods",
,,,77.31,Renting and leasing of agricultural machinery and equipment,7730*
,,,77.32,Renting and leasing of construction and civil engineering machinery and equipment,7730*
,,,77.33,Renting and leasing of office machinery and equipment (including computers),7730*
,,,77.34,Renting and leasing of water transport equipment,7730*
,,,77.35,Renting and leasing of air transport equipment,7730*
,,,77.39,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",7730*
,,77.4,,"Leasing of intellectual property and similar products, except copy-righted works",
,,,77.40,"Leasing of intellectual property and similar products, except copy-righted works",7740
,78,,,Employment activities,
,,78.1,,Activities of employment placement agencies,
,,,78.10,Activities of employment placement agencies,7810
,,78.2,,Temporary employment agency activities,
,,,78.20,Temporary employment agency activities,7820
,,78.3,,Other human resources provision,
,,,78.30,Other human resources provision,7830
,79,,,"Travel agency, tour operator reservation service and related activities",
,,79.1,,Travel agency and tour operator activities,
,,,79.11,Travel agency activities,7911
,,,79.12,Tour operator activities,7912
,,79.9,,Other reservation service and related activities,
,,,79.90,Other reservation service and related activities,7990
,80,,,Security and investigation activities,
,,80.1,,Private security activities,
,,,80.10,Private security activities,8010
,,80.2,,Security systems service activities,
,,,80.20,Security systems service activities,8020
,,80.3,,Investigation activities,
,,,80.30,Investigation activities,8030
,81,,,Services to buildings and landscape activities,
,,81.1,,Combined facilities support activities,
,,,81.10,Combined facilities support activities,8110
,,81.2,,Cleaning activities,
,,,81.21,General cleaning of buildings,8121
,,,81.22,Other building and industrial cleaning activities,8129*
,,,81.29,Other cleaning activities,8129*
,,81.3,,Landscape service activities,
,,,81.30,Landscape service activities,8130
,82,,,"Office administrative, office support and other business support activities",
,,82.1,,Office administrative and support activities,
,,,82.11,Combined office administrative service activities,8211
,,,82.19,"Photocopying, document preparation and other specialised office support activities",8219
,,82.2,,Activities of call centres,
,,,82.20,Activities of call centres,8220
,,82.3,,Organisation of conventions and trade shows,
,,,82.30,Organisation of conventions and trade shows,8230
,,82.9,,Business support service activities n.e.c.,
,,,82.91,Activities of collection agencies and credit bureaus,8291
,,,82.92,Packaging activities,8292
,,,82.99,Other business support service activities n.e.c.,8299
O,,,,Public Administration And Defence; Compulsory Social Security,
,84,,,Public administration and defence; compulsory social security,
,,84.1,,Administration of the State and the economic and social policy of the community,
,,,84.11,General public administration activities,8411
,,,84.12,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",8412
,,,84.13,Regulation of and contribution to more efficient operation of businesses,8413
,,84.2,,Provision of services to the community as a whole,
,,,84.21,Foreign affairs,8421
,,,84.22,Defence activities,8422
,,,84.23,Justice and judicial activities,8423*
,,,84.24,Public order and safety activities,8423*
,,,84.25,Fire service activities,8423*
,,84.3,,Compulsory social security activities,
,,,84.30,Compulsory social security activities,8430
P,,,,Education,
,85,,,Education,
,,85.1,,Pre-primary education,
,,,85.10,Pre-primary education,8510*
,,85.2,,Primary education,
,,,85.20,Primary education,8510*
,,85.3,,Secondary education,
,,,85.31,General secondary education,8521
,,,85.32,Technical and vocational secondary education,8522
,,85.4,,Higher education,
,,,85.41,Post-secondary non-tertiary education,8530*
,,,85.42,Tertiary education,8530*
,,85.5,,Other education,
,,,85.51,Sports and recreation education,8541
,,,85.52,Cultural education,8542
,,,85.53,Driving school activities,8549*
,,,85.59,Other education n.e.c.,8549*
,,85.6,,Educational support activities,
,,,85.60,Educational support activities,8550
Q,,,,Human Health And Social Work Activities,
,86,,,Human health activities,
,,86.1,,Hospital activities,
,,,86.10,Hospital activities,8610
,,86.2,,Medical and dental practice activities,
,,,86.21,General medical practice activities,8620*
,,,86.22,Specialist medical practice activities,8620*
,,,86.23,Dental practice activities,8620*
,,86.9,,Other human health activities,
,,,86.90,Other human health activities,8690
,87,,,Residential care activities,
,,87.1,,Residential nursing care activities,
,,,87.10,Residential nursing care activities,8710
,,87.2,,"Residential care activities for mental retardation, mental health and substance abuse",
,,,87.20,"Residential care activities for mental retardation, mental health and substance abuse",8720
,,87.3,,Residential care activities for the elderly and disabled,
,,,87.30,Residential care activities for the elderly and disabled,8730
,,87.9,,Other residential care activities,
,,,87.90,Other residential care activities,8790
,88,,,Social work activities without accommodation,
,,88.1,,Social work activities without accommodation for the elderly and disabled,
,,,88.10,Social work activities without accommodation for the elderly and disabled,8810
,,88.9,,Other social work activities without accommodation,
,,,88.91,Child day-care activities,8890*
,,,88.99,Other social work activities without accommodation n.e.c.,8890*
R,,,,"Arts, Entertainment And Recreation",
,90,,,"Creative, arts and entertainment activities",
,,90.0,,"Creative, arts and entertainment activities",
,,,90.01,Performing arts,9000*
,,,90.02,Support activities to performing arts,9000*
,,,90.03,Artistic creation,9000*
,,,90.04,Operation of arts facilities,9000*
,91,,,"Libraries, archives, museums and other cultural activities",
,,91.0,,"Libraries, archives, museums and other cultural activities",
,,,91.01,Library and archives activities,9101
,,,91.02,Museums activities,9102*
,,,91.03,Operation of historical sites and buildings and similar visitor attractions,9102*
,,,91.04,Botanical and zoological gardens and nature reserves activities,9103
,92,,,Gambling and betting activities,
,,92.0,,Gambling and betting activities,
,,,92.00,Gambling and betting activities,9200
,93,,,Sports activities and amusement and recreation activities,
,,93.1,,Sports activities,
,,,93.11,Operation of sports facilities,9311*
,,,93.12,Activities of sport clubs,9312
,,,93.13,Fitness facilities,9311*
,,,93.19,Other sports activities,9319
,,93.2,,Amusement and recreation activities,
,,,93.21,Activities of amusement parks and theme parks,9321
,,,93.29,Other amusement and recreation activities,9329
S,,,,Other Service Activities,
,94,,,Activities of membership organisations,
,,94.1,,"Activities of business, employers and professional membership organisations",
,,,94.11,Activities of business and employers membership organisations,9411
,,,94.12,Activities of professional membership organisations,9412
,,94.2,,Activities of trade unions,
,,,94.20,Activities of trade unions,9420
,,94.9,,Activities of other membership organisations,
,,,94.91,Activities of religious organisations,9491
,,,94.92,Activities of political organisations,9492
,,,94.99,Activities of other membership organisations n.e.c.,9499
,95,,,Repair of computers and personal and household goods,
,,95.1,,Repair of computers and communication equipment,
,,,95.11,Repair of computers and peripheral equipment,9511
,,,95.12,Repair of communication equipment,9512
,,95.2,,Repair of personal and household goods,
,,,95.21,Repair of consumer electronics,9521
,,,95.22,Repair of household appliances and home and garden equipment,9522
,,,95.23,Repair of footwear and leather goods,9523
,,,95.24,Repair of furniture and home furnishings,9524
,,,95.25,"Repair of watches, clocks and jewellery",9529*
,,,95.29,Repair of other personal and household goods,9529*
,96,,,Other personal service activities,
,,96.0,,Other personal service activities,
,,,96.01,Washing and (dry-)cleaning of textile and fur products,9601
,,,96.02,Hairdressing and other beauty treatment,9602
,,,96.03,Funeral and related activities,9603
,,,96.04,Physical well-being activities,9609*
,,,96.09,Other personal service activities n.e.c.,9609*
T,,,,"Activities Of Households As Employers; Undifferentiated Goods- And Services-producing  
Activities Of Households For Own Use",
,97,,,Activities of households as employers of domestic personnel,
,,97.0,,Activities of households as employers of domestic personnel,
,,,97.00,Activities of households as employers of domestic personnel,9700
,98,,,Undifferentiated goods- and services-producing activities of private households for own use,
,,98.1,,Undifferentiated goods-producing activities of private households for own use,
,,,98.10,Undifferentiated goods-producing activities of private households for own use,9810
,,98.2,,Undifferentiated service-producing activities of private households for own use,
,,,98.20,Undifferentiated service-producing activities of private households for own use,9820
U,,,,Activities Of Extraterritorial Organisations And Bodies,
,99,,,Activities of extraterritorial organisations and bodies,
,,99.0,,Activities of extraterritorial organisations and bodies,
,,,99.00,Activities of extraterritorial organisations and bodies,9900
